0,3.9226,11.388,8.1069,6.1988,7.0438,6.7077,6.6331,7.364,6.333,4.1885,1.53,1.3171,1.7628,1.6344,1.5655,2.0142,1.5533,0.24709,0.0011458,0
0,17.903,42.217,24.135,19.327,15.383,13.21,11.683,11.88,11.001,9.2348,8.1211,8.8664,10.676,11.936,14.053,19.818,20.925,14.512,9.3337,0.48339
0.58245,8.704,12.175,12.979,10.93,7.6098,5.1454,3.867,3.5085,3.1115,3.0628,4.8941,5.6184,7.3983,9.4414,11.708,15.656,21.32,22.073,31.711,5.3224
2.9983,25.157,13.425,6.5755,2.8442,0.53463,-2.1293,-3.2417,-4.0223,-4.1192,-3.05,-1.524,-0.49946,0.88359,3.4233,5.3461,9.3884,12.954,18.868,33.913,9.765
7.493,23.944,6.5851,1.1215,-2.142,-6.3524,-9.752,-11.061,-12.68,-12.91,-11.418,-9.1731,-7.7813,-7.351,-5.1878,-1.1753,2.4777,6.7288,5.4627,2.0695,0.50988
9.3668,10.421,3.2645,-0.82128,-3.5761,-7.3555,-11.035,-11.961,-14.397,-16.277,-16.097,-13.806,-12.949,-13.215,-9.9527,-5.3007,-2.4071,3.7887,6.0327,1.1419,0.17075
1.7532,9.1433,4.5404,-1.622,-4.0675,-9.1102,-12.397,-13.412,-15.263,-17.122,-17.835,-16.372,-15.341,-14.954,-9.9936,-6.1427,-3.3846,1.4028,6.1884,14.286,2.3527
2.5841,9.4002,3.1041,-4.7292,-7.9681,-10.812,-11.928,-12.422,-13.5,-14.289,-15.848,-16.237,-14.473,-13.971,-10.308,-6.6533,-4.262,1.5966,5.7272,13.752,1.7948
12.911,21.875,8.947,1.407,-1.2483,-2.3048,-1.6173,-1.99,-1.203,-2.4845,-9.2345,-11.743,-7.0108,-4.439,-4.143,-3.2647,-2.8528,2.2017,8.3123,18.236,3.3422
9.4256,16.982,10.277,1.8969,-0.36843,-1.0388,0.222,0.97628,1.4909,0.060166,-7.6848,-9.2235,3.0138,6.3367,6.0616,6.5483,5.5043,6.8946,11.862,17.938,10.171
9.566,13.922,9.7784,4.5942,3.1703,2.677,2.3681,1.9273,0.38882,-2.299,-1.0782,-7.6062,1.9959,6.1623,5.0959,4.4838,5.0731,9.5301,12.668,14.486,1.5156
11.326,18.111,8.1167,4.6968,2.995,2.8652,1.465,-0.1204,-3.5446,-9.9948,-9.3007,-17.521,-2.1087,6.7848,7.6615,7.8289,9.2477,13.074,14.276,10.607,1.0481
10.378,16.292,9.1681,4.3324,2.5241,1.1686,-1.533,-3.9731,-8.195,-17.764,-26.57,-25.184,-4.2311,4.1435,9.0741,11.057,12.118,14.605,17.326,30.266,5.992
11.488,17.88,9.0238,3.6807,1.3069,-0.49061,-3.1701,-5.0785,-9.9092,-23.286,-31.248,-27.739,-9.0308,1.829,7.0943,9.7944,12.077,15.662,18.891,26.272,2.6386
8.5125,19.892,10.776,3.732,0.81288,-0.93721,-2.4817,-6.2373,-16.567,-31.769,-35.868,-33.874,-17.728,0.47844,5.5127,9.1369,12.547,16.648,21.096,26.132,2.1199
5.0187,21.62,12.334,4.0112,1.5812,0.17004,-2.5933,-5.5463,-10.021,-17.802,-22.951,-21.705,-6.4406,1.8008,4.6516,8.5185,13.635,21.053,23.121,18.984,0.30819
2.5946,22.747,14.455,5.9499,2.6343,-0.54593,-4.6282,-7.3575,-10.846,-13.954,-15.282,-12.206,-3.9512,1.1748,6.245,10.274,17.187,23.156,19.97,4.0181,0.013104
1.6555,16.958,16.639,8.9832,5.9216,3.6964,-0.11058,-2.9697,-6.1976,-8.6071,-8.8133,-5.9936,-0.99696,3.2959,7.7939,13.051,21.516,30.225,22.597,2.9676,0
0.014914,2.5353,12.338,13.549,9.7306,7.5538,3.6278,1.9968,0.62636,-1.1301,-0.58452,1.9648,5.637,10.384,13.977,18.086,23.228,17.465,3.0973,0.0042202,0
0,0.039105,2.6378,7.7368,7.8912,6.9595,2.3749,0.58013,-0.52977,-1.3464,-0.89389,2.1806,7.3784,12.763,10.622,5.5867,2.3164,0.58036,0.0069284,0,0
0,0,8.9773e-06,0.018126,0.21693,0.5101,0.25586,0.13461,-0.068495,-0.15557,-0.0031912,0.6871,1.4704,0.90415,0.32865,0.0017298,0,0,0,0,0
